,City,Country,Lat,Lng,Hotel Name
223,pirapora,,-17.34,-44.94,Hotel Canoeiros
224,vila velha,,42.03,-8.16,Hotel Castrum Villae
225,saint-leu,,-21.15,55.28,Iloha Seaview Hotel
226,udankudi,,8.43,78.02,
227,lavrentiya,,65.58,-171.0,
228,beringovskiy,,63.05,179.32,Beringgorski
229,kahului,,20.89,-156.47,Maui Beach Hotel
230,broome,,42.25,-75.83,
231,lang suan,,46.84,15.5,Golden Hill Country Chalets & Suites
232,half moon bay,,6.38,-10.7,Modern Hotel
233,aquidauana,,-20.47,-55.79,Hotel Beira Rio
234,jaguaruna,,-28.61,-49.03,Hotel Guerra
235,kodiak,,57.79,-152.41,Shelikof Lodge
236,havre-saint-pierre,,50.23,-63.6,Hotel Du Havre
237,bairiki,,1.33,172.98,Fema Lodge
238,ambanja,,-13.68,48.45,Hôtel PALMA NOVA
239,hokitika,,-42.72,170.97,Pioneer Hotel
240,valparaiso,,-33.04,-71.63,WineBox Valparaiso
241,tiksi,,71.69,128.87,Arktika
242,nago,,26.59,127.98,Hotel Resonex Nago
243,alofi,,-19.06,-169.92,Taloa Heights
244,fuyu,,45.18,124.82,Jixiang Hotel
245,catamarca,,-28.47,-65.79,Amerian Catamarca Park Hotel
246,dingle,,11.0,122.67,
247,constitucion,,-35.33,-72.42,Bed & Breakfast Sweet Dreams
248,kieta,,-6.22,155.63,
249,marsh harbour,,53.65,-1.81,Manor House Lindley
250,yaransk,,57.3,47.89,"Hotel ""Comfort"""
251,chushan,,33.3,113.65,
252,sibolga,,1.74,98.78,Prima Indah Hotel
253,pskov,,57.81,28.35,Pushkin
254,sim,,54.99,57.7,Kaskad
255,ortakoy,,38.74,34.04,Berilhan Hotel
256,husavik,,66.04,-17.34,Húsavík Hotels
257,esil,,51.96,66.4,Egorkino Hotel
258,seminole,,28.71,-81.21,
259,abu zabad,,24.6,72.7,Hotel Hillock
260,codrington,,-38.27,141.97,Codrington Gardens Bed And Breakfast
261,phuntsholing,,26.85,89.39,Legphel Hotel
262,naze,,28.37,129.48,Hotel New Amami
263,hofn,,64.25,-15.21,Hótel Höfn
264,barstow,,34.9,-117.02,Best Western Desert Villa Inn
265,weiden,,49.68,12.16,Hotel Post
266,poya,,-21.35,165.15,
267,dudinka,,69.41,86.18,Hotel Viktoria
268,spirit river,,45.45,-90.11,
269,booue,,-0.09,11.94,Booue
270,meulaboh,,4.14,96.13,Hotel Meuligoe
271,kokopo,,-4.35,152.26,Kokopo Beach Bungalow Resort
272,cruzeiro do sul,,-22.58,-44.96,Pousada Recanto Itália Bertone
273,ahipara,,-35.17,173.17,Ahipara Bay Motel
274,makhachkala,,42.98,47.5,Hotel Central
275,benguela,,-12.58,13.41,iu Hotel Benguela
276,salinopolis,,-0.61,-47.36,Hotel Concha do Mar
277,vila franca do campo,,42.03,-8.16,Hotel Castrum Villae
278,hegang,,47.4,130.37,
